job_title,job_skills
database_administrator,mysql linux replication
data_engineer,docker sql data_warehousing kafka nosql git scala
cloud_engineer,monitoring azure security_practices
cloud_engineer,linux infrastructure_as_code gcp terraform monitoring kubernetes aws
junior_devops_engineer,git monitoring networking_basics linux ci_cd shell_scripting
it_support_specialist,troubleshooting active_directory remote_desktop customer_support linux
technical_support_engineer,networking_basics api_testing scripting
security_engineer,linux firewalls network_security
release_engineer,kubernetes version_control build_automation git
qa_engineer,postman automated_testing sql bug_reporting selenium
release_engineer,git kubernetes version_control docker
bi_developer,data_modeling sql tableau business_intelligence
ui_ux_designer,usability_testing prototyping html_css information_architecture figma
backend_developer,authentication docker ci_cd git microservices java_programming
embedded_systems_engineer,hardware_interfacing microcontrollers debugging
full_stack_developer,node_js nosql typescript
mobile_developer,java_programming swift ios_development git flutter
data_scientist,jupyter_notebook machine_learning pytorch numpy tensorflow pandas
mobile_developer,swift java_programming app_store_deployment
data_analyst,power_bi data_cleaning data_modeling
cloud_engineer,security_practices linux azure
junior_network_engineer,dns routing_switching cisco tcp_ip
systems_administrator,virtualization networking windows_server
junior_hardware_engineer,multimeter component_selection pcb_design
backend_developer,linux python_programming authentication
test_engineer,hardware_testing bug_reporting documentation manual_testing regression_testing automated_testing
ui_ux_designer,usability_testing prototyping sketch figma wireframing
ui_ux_designer,user_research sketch adobe_xd information_architecture figma
software_engineer,unit_testing python_programming rest_api
devops_engineer,kubernetes ci_cd monitoring linux terraform aws ansible
qa_engineer,git test_planning bug_reporting manual_testing
network_engineer,cisco networking tcp_ip vpn troubleshooting
qa_engineer,git selenium regression_testing test_planning agile_methodology
junior_data_scientist,numpy jupyter_notebook python_programming git machine_learning statistics data_visualization
frontend_developer,html_css react javascript git sass
junior_data_scientist,machine_learning statistics data_visualization sql
technical_writer,content_management diagramming api_documentation git markdown user_research
bi_developer,data_warehousing etl business_intelligence reporting excel python_programming sql
junior_data_engineer,linux cloud_computing sql python_programming airflow nosql
cybersecurity_analyst,python_programming encryption vulnerability_assessment
network_engineer,cisco vpn security_practices
release_engineer,version_control shell_scripting linux docker
frontend_developer,responsive_design javascript webpack react ui_ux_basics typescript
database_administrator,stored_procedures mysql indexing performance_tuning
scrum_master,stakeholder_communication scrum sprint_planning team_facilitation retrospectives
data_scientist,feature_engineering pandas git numpy r_programming
it_support_specialist,remote_desktop documentation active_directory ticketing_systems customer_support
fpga_engineer,fpga signal_processing digital_design vhdl debugging
cybersecurity_analyst,python_programming siem firewalls penetration_testing vulnerability_assessment compliance
site_reliability_engineer,shell_scripting incident_management ci_cd docker monitoring performance_tuning on_call_management
full_stack_developer,react linux ci_cd nosql
full_stack_developer,ci_cd javascript sql git
backend_developer,node_js message_queues git java_programming nosql
junior_qa_engineer,agile_methodology bug_reporting manual_testing
devops_engineer,security_practices docker ansible terraform networking gcp
software_engineer,code_review unit_testing docker java_programming react algorithms object_oriented_programming
qa_engineer,selenium agile_methodology sql
cloud_engineer,ci_cd docker aws gcp azure networking
hardware_engineer,signal_processing soldering hardware_debugging
junior_software_engineer,sql object_oriented_programming data_structures javascript git react
junior_network_engineer,tcp_ip network_monitoring routing_switching troubleshooting dhcp dns
it_support_specialist,remote_desktop software_installation documentation ticketing_systems hardware_maintenance networking_basics troubleshooting
junior_data_analyst,reporting google_analytics sql tableau data_visualization
